date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:00	23/23	---M--	200	added ('OK')	text/plain	etag:%22670966f5-17%22	https://obsidian.md/robots.txt		(from )
22:21:00	54404/54404	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/	C:/My%20Websites/cyberdeep_web/obsidian.md/index.html	(from )
22:21:01	121874/121874	---M-Z	200	added ('OK')	text/css	etag:W/%22670966f5-1dc12%22	https://obsidian.md/tailwind.css?hash=26	C:/My%20Websites/cyberdeep_web/obsidian.md/tailwindcd00.css	(from https://obsidian.md/)
22:21:01	31332/31332	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22670966f5-7a64%22	https://obsidian.md/favicon.ico	C:/My%20Websites/cyberdeep_web/obsidian.md/favicon.ico	(from https://obsidian.md/)
22:21:01	1361/1361	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22670966f5-551%22	https://obsidian.md/favicon.svg	C:/My%20Websites/cyberdeep_web/obsidian.md/favicon.svg	(from https://obsidian.md/)
22:21:01	5856/5856	---M--	200	added ('OK')	image/png	etag:%22670966f5-16e0%22	https://obsidian.md/apple-touch-icon.png	C:/My%20Websites/cyberdeep_web/obsidian.md/apple-touch-icon.png	(from https://obsidian.md/)
22:21:02	137267/137267	---M-Z	200	added ('OK')	application/xml	etag:W/%22670966f5-21833%22	https://obsidian.md/feed.xml	C:/My%20Websites/cyberdeep_web/obsidian.md/feed.xml	(from https://obsidian.md/)
22:21:02	117326/117326	---M-Z	200	added ('OK')	application/json	etag:W/%22670966f5-1ca4e%22	https://obsidian.md/feed.json	C:/My%20Websites/cyberdeep_web/obsidian.md/feed.json	(from https://obsidian.md/)
22:21:02	666706/666706	---M-Z	200	added ('OK')	application/xml	etag:W/%22670966f5-a2c52%22	https://obsidian.md/changelog.xml	C:/My%20Websites/cyberdeep_web/obsidian.md/changelog.xml	(from https://obsidian.md/)
22:21:03	569354/569354	---M-Z	200	added ('OK')	application/json	etag:W/%22670966f5-8b00a%22	https://obsidian.md/changelog.json	C:/My%20Websites/cyberdeep_web/obsidian.md/changelog.json	(from https://obsidian.md/)
22:21:03	139853/139853	---M--	200	added ('OK')	image/png	etag:%22670966f5-2224d%22	https://obsidian.md/images/banner.png	C:/My%20Websites/cyberdeep_web/obsidian.md/images/banner.png	(from https://obsidian.md/)
22:21:03	32568/32568	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/download	C:/My%20Websites/cyberdeep_web/obsidian.md/download.html	(from https://obsidian.md/)
22:21:03	34716/34716	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/pricing	C:/My%20Websites/cyberdeep_web/obsidian.md/pricing.html	(from https://obsidian.md/)
22:21:04	37115/37115	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/sync	C:/My%20Websites/cyberdeep_web/obsidian.md/sync.html	(from https://obsidian.md/)
22:21:04	41079/41079	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/publish	C:/My%20Websites/cyberdeep_web/obsidian.md/publish.html	(from https://obsidian.md/)
22:21:04	24168/24168	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/community	C:/My%20Websites/cyberdeep_web/obsidian.md/community.html	(from https://obsidian.md/)
22:21:05	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Oct%202024%2014:21:05%20GMT	https://obsidian.md/account	C:/My%20Websites/cyberdeep_web/obsidian.md/account	(from https://obsidian.md/)
22:21:05	1859/1859	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/account/	C:/My%20Websites/cyberdeep_web/obsidian.md/account/index.html	(from https://obsidian.md/)
22:21:05	17761/17761	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/plugins	C:/My%20Websites/cyberdeep_web/obsidian.md/plugins.html	(from https://obsidian.md/)
22:21:05	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Oct%202024%2014:21:06%20GMT	https://obsidian.md/blog	C:/My%20Websites/cyberdeep_web/obsidian.md/blog	(from https://obsidian.md/)
22:21:06	46876/46876	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/blog/	C:/My%20Websites/cyberdeep_web/obsidian.md/blog/index.html	(from https://obsidian.md/)
22:21:06	26690/26690	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/about	C:/My%20Websites/cyberdeep_web/obsidian.md/about.html	(from https://obsidian.md/)
22:21:06	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Oct%202024%2014:21:07%20GMT	https://obsidian.md/changelog	C:/My%20Websites/cyberdeep_web/obsidian.md/changelog	(from https://obsidian.md/)
22:21:06	57889/57889	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/changelog/	C:/My%20Websites/cyberdeep_web/obsidian.md/changelog/index.html	(from https://obsidian.md/)
22:21:06	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Oct%202024%2014:21:07%20GMT	https://obsidian.md/roadmap	C:/My%20Websites/cyberdeep_web/obsidian.md/roadmap	(from https://obsidian.md/)
22:21:07	95557/95557	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/roadmap/	C:/My%20Websites/cyberdeep_web/obsidian.md/roadmap/index.html	(from https://obsidian.md/)
22:21:07	26108/26108	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/softwear	C:/My%20Websites/cyberdeep_web/obsidian.md/softwear.html	(from https://obsidian.md/)
22:21:07	575453/575453	---M--	200	added ('OK')	image/png	etag:%22670966f5-8c7dd%22	https://obsidian.md/images/screenshot-1.0-hero-combo.png	C:/My%20Websites/cyberdeep_web/obsidian.md/images/screenshot-1.0-hero-combo.png	(from https://obsidian.md/)
22:21:07	4872/4872	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22670966f5-1308%22	https://obsidian.md/images/obsidian-logo-gradient.svg	C:/My%20Websites/cyberdeep_web/obsidian.md/images/obsidian-logo-gradient.svg	(from https://obsidian.md/)
22:21:08	40949/40949	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/canvas	C:/My%20Websites/cyberdeep_web/obsidian.md/canvas.html	(from https://obsidian.md/)
22:21:08	5491/5491	---M--	200	added ('OK')	image/jpeg	etag:%22670966f5-1573%22	https://obsidian.md/images/home-descartes.jpg	C:/My%20Websites/cyberdeep_web/obsidian.md/images/home-descartes.jpg	(from https://obsidian.md/)
22:21:08	32915/32915	---M--	200	added ('OK')	image/png	etag:%22670966f5-8093%22	https://obsidian.md/images/home-spinoza.png	C:/My%20Websites/cyberdeep_web/obsidian.md/images/home-spinoza.png	(from https://obsidian.md/)
22:21:08	48828/48828	---M--	200	added ('OK')	image/png	etag:%22670966f5-bebc%22	https://obsidian.md/images/home-wiki-hume.png	C:/My%20Websites/cyberdeep_web/obsidian.md/images/home-wiki-hume.png	(from https://obsidian.md/)
22:21:09	145705/145705	---M--	200	added ('OK')	image/png	etag:%22670966f5-23929%22	https://obsidian.md/images/sync-settings.png	C:/My%20Websites/cyberdeep_web/obsidian.md/images/sync-settings.png	(from https://obsidian.md/)
22:21:09	87641/87641	---M--	200	added ('OK')	image/png	etag:%22670966f5-15659%22	https://obsidian.md/images/sync-diff.png	C:/My%20Websites/cyberdeep_web/obsidian.md/images/sync-diff.png	(from https://obsidian.md/)
22:21:09	151368/151368	---M--	200	added ('OK')	image/png	etag:%22670966f5-24f48%22	https://obsidian.md/images/sync-share.png	C:/My%20Websites/cyberdeep_web/obsidian.md/images/sync-share.png	(from https://obsidian.md/)
22:21:09	213097/213097	---M--	200	added ('OK')	image/png	etag:%22670966f5-34069%22	https://obsidian.md/images/publish-example-dark.png	C:/My%20Websites/cyberdeep_web/obsidian.md/images/publish-example-dark.png	(from https://obsidian.md/)
22:21:10	33698/33698	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/mobile	C:/My%20Websites/cyberdeep_web/obsidian.md/mobile.html	(from https://obsidian.md/)
22:21:10	21802/21802	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/license	C:/My%20Websites/cyberdeep_web/obsidian.md/license.html	(from https://obsidian.md/)
22:21:10	62616/62616	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/terms	C:/My%20Websites/cyberdeep_web/obsidian.md/terms.html	(from https://obsidian.md/)
22:21:11	34123/34123	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/privacy	C:/My%20Websites/cyberdeep_web/obsidian.md/privacy.html	(from https://obsidian.md/)
22:21:11	20995/20995	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/security	C:/My%20Websites/cyberdeep_web/obsidian.md/security.html	(from https://obsidian.md/)
22:21:11	20190/20190	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2017:57:09%20GMT	https://obsidian.md/brand	C:/My%20Websites/cyberdeep_web/obsidian.md/brand.html	(from https://obsidian.md/)
22:21:11	43561/43561	---M-Z	200	added ('OK')	application/javascript	etag:W/%22670966f5-aa29%22	https://obsidian.md/static.js	C:/My%20Websites/cyberdeep_web/obsidian.md/static.js	(from https://obsidian.md/)
22:21:12	2089/2089	---M-Z	200	added ('OK')	application/javascript	etag:W/%22670966f5-829%22	https://obsidian.md/download.js	C:/My%20Websites/cyberdeep_web/obsidian.md/download.js	(from https://obsidian.md/)
22:21:12	26033/26033	---M-Z	200	added ('OK')	application/javascript	etag:W/%22670966f5-65b1%22	https://obsidian.md/graph.js	C:/My%20Websites/cyberdeep_web/obsidian.md/graph.js	(from https://obsidian.md/)
22:21:13	98868/98868	---M--	200	added ('OK')	font/woff2	etag:%22670966f5-18234%22	https://obsidian.md/fonts/Inter-Regular.woff2	C:/My%20Websites/cyberdeep_web/obsidian.md/fonts/Inter-Regular.woff2	(from https://obsidian.md/tailwind.css?hash=26)
22:21:13	106876/106876	---M--	200	added ('OK')	font/woff2	etag:%22670966f5-1a17c%22	https://obsidian.md/fonts/Inter-Italic.woff2	C:/My%20Websites/cyberdeep_web/obsidian.md/fonts/Inter-Italic.woff2	(from https://obsidian.md/tailwind.css?hash=26)
22:21:13	105924/105924	---M--	200	added ('OK')	font/woff2	etag:%22670966f5-19dc4%22	https://obsidian.md/fonts/Inter-Medium.woff2	C:/My%20Websites/cyberdeep_web/obsidian.md/fonts/Inter-Medium.woff2	(from https://obsidian.md/tailwind.css?hash=26)
22:21:14	105804/105804	---M--	200	added ('OK')	font/woff2	etag:%22670966f5-19d4c%22	https://obsidian.md/fonts/Inter-SemiBold.woff2	C:/My%20Websites/cyberdeep_web/obsidian.md/fonts/Inter-SemiBold.woff2	(from https://obsidian.md/tailwind.css?hash=26)
22:21:14	112048/112048	---M--	200	added ('OK')	font/woff2	etag:%22670966f5-1b5b0%22	https://obsidian.md/fonts/Inter-SemiBoldItalic.woff2	C:/My%20Websites/cyberdeep_web/obsidian.md/fonts/Inter-SemiBoldItalic.woff2	(from https://obsidian.md/tailwind.css?hash=26)
